curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
ex:52,1 -2 0 2 -2 0 1,2.6753919993801773e-06,1.641076257201237e-07,75000,20,30,28351600,221343,4555539205,109514,60012,109493,706426,1465198,608,541157194,107738360,440408,709355414,1070985220
ex:52,1 -2 0 2 -2 0 1,6.605523157410722e-07,2.2403732739917415e-07,75000,23,26,28351600,221343,4555539205,87143,77847,87142,253713,1899283,820,592739376,102183494,513996,751061634,1161337676
ex:52,1 -2 0 2 -2 0 1,6.605523157410722e-07,1.641076257201237e-07,75000,23,30,28351600,221343,4555539205,87143,60012,87142,402100,1465198,608,594298606,103123252,403928,755291678,1179884288
ex:52,1 -2 0 2 -2 0 1,2.2403732739917415e-07,2.2403732739917415e-07,75000,26,26,28351600,221343,4555539205,77847,77847,77847,0,1899283,820,660548072,71686928,524220,786755154,1229074909
ex:52,1 -2 0 2 -2 0 1,2.2403732739917415e-07,1.641076257201237e-07,75000,26,30,28351600,221343,4555539205,77847,60012,77847,148387,1465198,608,689394998,103025488,449860,851482014,1298799191
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,7.357681078848142e-06,150000,11,18,110022768,630193,18222035017,8465957,338890,8077221,18564311,9262853,107419,921091082,1047426188,40172284,2144460910,3365277327
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,1.0241590950480844e-06,150000,11,22,110022768,630193,18222035017,8465957,199814,8077221,19637059,4992380,14977,947247554,1022774172,7792542,2127274720,3328408386
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,2.2403732739917415e-07,150000,11,26,110022768,630193,18222035017,8465957,156291,8077221,20353515,3829113,3272,924336184,995415822,2263026,2073273216,3321809462
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,1.641076257201237e-07,150000,11,30,110022768,630193,18222035017,8465957,120306,8077221,20651079,2946060,2402,975789116,1023816796,1884332,2153943262,3374791215
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,7.357681078848142e-06,150000,14,18,110022768,630193,18222035017,1495790,338890,1485016,3436052,9262853,107419,1176607270,513944594,39447272,1863119556,2939932828
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,1.0241590950480844e-06,150000,14,22,110022768,630193,18222035017,1495790,199814,1485016,4508800,4992380,14977,1206642366,483147246,6916066,1837338758,2909990998
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,2.2403732739917415e-07,150000,14,26,110022768,630193,18222035017,1495790,156291,1485016,5225256,3829113,3272,1226571658,487620912,1876114,1865166706,2904068982
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,1.641076257201237e-07,150000,14,30,110022768,630193,18222035017,1495790,120306,1485016,5522820,2946060,2402,1461167708,578357774,2440306,2218040018,3108328663
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,7.357681078848142e-06,150000,17,18,110022768,630193,18222035017,435878,338890,435392,435392,9262853,107419,1572773112,429922888,39809132,2182173944,3387188609
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,1.0241590950480844e-06,150000,17,22,110022768,630193,18222035017,435878,199814,435392,1508140,4992380,14977,1617677888,395406486,7106496,2170797334,3341159282
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,2.2403732739917415e-07,150000,17,26,110022768,630193,18222035017,435878,156291,435392,2224596,3829113,3272,1949322614,464118824,3189182,2599505512,3490777114
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,1.641076257201237e-07,150000,17,30,110022768,630193,18222035017,435878,120306,435392,2522160,2946060,2402,1656680406,400362500,1565574,2218549606,3413318465
ex:52,1 -2 0 2 -2 0 1,2.6753919993801773e-06,1.0241590950480844e-06,150000,20,22,110022768,630193,18222035017,242587,199814,242540,454901,4992380,14977,1838721868,381111880,6864986,2368615320,3732115333
ex:52,1 -2 0 2 -2 0 1,2.6753919993801773e-06,2.2403732739917415e-07,150000,20,26,110022768,630193,18222035017,242587,156291,242540,1171357,3829113,3272,1927901362,398301978,2128880,2477386404,3759805125
ex:52,1 -2 0 2 -2 0 1,2.6753919993801773e-06,1.641076257201237e-07,150000,20,30,110022768,630193,18222035017,242587,120306,242540,1468921,2946060,2402,1929132974,388452738,1531170,2471789582,3806743706
ex:52,1 -2 0 2 -2 0 1,6.605523157410722e-07,2.2403732739917415e-07,150000,23,26,110022768,630193,18222035017,179267,156291,179265,516652,3829113,3272,2105543784,365263504,1793968,2615119994,4207964353
ex:52,1 -2 0 2 -2 0 1,6.605523157410722e-07,1.641076257201237e-07,150000,23,30,110022768,630193,18222035017,179267,120306,179265,814216,2946060,2402,2104969974,362237956,1411642,2621782932,4249187995
ex:52,1 -2 0 2 -2 0 1,2.2403732739917415e-07,2.2403732739917415e-07,150000,26,26,110022768,630193,18222035017,156291,156291,156291,0,3829113,3272,3413687678,361965206,3393558,3976130662,4627504564
ex:52,1 -2 0 2 -2 0 1,2.2403732739917415e-07,1.641076257201237e-07,150000,26,30,110022768,630193,18222035017,156291,120306,156291,297564,2946060,2402,2690449374,401842248,1895164,3258248438,4769492056
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,1.7004180782605477e-05,25000,11,18,3338896,37647,579892517,507580,59623,465772,1315227,1639025,7809,43254692,58377738,3772186,118043016,169740396
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,3.3831932743919976e-06,25000,11,22,3338896,37647,579892517,507580,44265,465772,1522097,1188008,1544,47060594,58013064,933374,120154920,171570571
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,8.827584771976144e-07,25000,11,26,3338896,37647,579892517,507580,35060,465772,1682904,935968,362,50063778,58305530,321614,123655190,175184424
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,6.45798734736251e-07,25000,11,30,3338896,37647,579892517,507580,29268,465772,1751508,785237,276,55306566,60894772,312344,133622044,181683409
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,1.7004180782605477e-05,25000,14,18,3338896,37647,579892517,132336,59623,129829,370482,1639025,7809,65103268,32822874,4002756,116735938,157401468
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,3.3831932743919976e-06,25000,14,22,3338896,37647,579892517,132336,44265,129829,577352,1188008,1544,65642218,31404716,990242,113564434,153735384
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,8.827584771976144e-07,25000,14,26,3338896,37647,579892517,132336,35060,129829,738159,935968,362,71706330,31339456,333510,119736006,162081545
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,6.45798734736251e-07,25000,14,30,3338896,37647,579892517,132336,29268,129829,806763,785237,276,71225494,30754478,273774,118237554,164885220
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,1.7004180782605477e-05,25000,17,18,3338896,37647,579892517,66667,59623,66162,66162,1639025,7809,75830398,23817894,3832414,116760056,162598946
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,3.3831932743919976e-06,25000,17,22,3338896,37647,579892517,66667,44265,66162,273032,1188008,1544,72908736,22643920,924416,111912020,154811906
