curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,6.111525403593106e-05,300000,5,11,11704944,58205,2935612933,20440694,180763,9768802,22501970,5869754,174642,47337604,536199916,48409810,661603828,1005756458
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,7.184474038488271e-06,300000,5,14,11704944,58205,2935612933,20440694,21369,9768802,22810612,692362,20676,48381946,486466700,8245432,573876272,876293737
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,5.767332528972339e-07,300000,5,18,11704944,58205,2935612933,20440694,1792,9768802,22852688,59128,1722,48015276,474108350,1071102,554753964,857802902
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,4.989257607632999e-08,300000,5,22,11704944,58205,2935612933,20440694,130,9768802,22856134,4316,126,56043206,503121952,266144,594669888,878083456
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,5.475787882410935e-09,300000,5,26,11704944,58205,2935612933,20440694,16,9768802,22856409,513,15,54685164,495546124,57772,597210484,868666621
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,6.111525403593106e-05,300000,8,11,11704944,58205,2935612933,1845312,180763,1711690,2906711,5869754,174642,69676686,220186636,45862060,364486934,564458798
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,7.184474038488271e-06,300000,8,14,11704944,58205,2935612933,1845312,21369,1711690,3215353,692362,20676,64337128,162651836,7276622,260832396,433299191
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,5.767332528972339e-07,300000,8,18,11704944,58205,2935612933,1845312,1792,1711690,3257429,59128,1722,74443172,173035878,1103480,280081890,426327802
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,4.989257607632999e-08,300000,8,22,11704944,58205,2935612933,1845312,130,1711690,3260875,4316,126,75428506,173246546,139378,282042682,422813522
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,5.475787882410935e-09,300000,8,26,11704944,58205,2935612933,1845312,16,1711690,3261150,513,15,75360638,168137862,54958,287020888,429041859
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,6.111525403593106e-05,300000,11,11,11704944,58205,2935612933,180763,180763,179416,0,5869754,174642,93323860,92238094,46142612,259927812,396082653
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,7.184474038488271e-06,300000,11,14,11704944,58205,2935612933,180763,21369,179416,308642,692362,20676,92720578,56779354,7728672,186347908,289570177
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,5.767332528972339e-07,300000,11,18,11704944,58205,2935612933,180763,1792,179416,350718,59128,1722,93673892,50552290,855508,175000730,274596300
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,4.989257607632999e-08,300000,11,22,11704944,58205,2935612933,180763,130,179416,354164,4316,126,107858744,56126802,119890,199812776,276301816
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,5.475787882410935e-09,300000,11,26,11704944,58205,2935612933,180763,16,179416,354439,513,15,99622756,51645798,38562,186686444,281123668
td:368,2 8 2 -4 4 0 -7,7.184474038488271e-06,7.184474038488271e-06,300000,14,14,11704944,58205,2935612933,21369,21369,21351,0,692362,20676,128634504,32464772,8048352,200512192,298604354
td:368,2 8 2 -4 4 0 -7,7.184474038488271e-06,5.767332528972339e-07,300000,14,18,11704944,58205,2935612933,21369,1792,21351,42076,59128,1722,135303798,39665262,1164120,209968438,302133944
td:368,2 8 2 -4 4 0 -7,7.184474038488271e-06,4.989257607632999e-08,300000,14,22,11704944,58205,2935612933,21369,130,21351,45522,4316,126,138462796,39683878,179844,214176470,301506090
td:368,2 8 2 -4 4 0 -7,7.184474038488271e-06,5.475787882410935e-09,300000,14,26,11704944,58205,2935612933,21369,16,21351,45797,513,15,137921986,38175814,32926,212923100,303251739
td:368,2 8 2 -4 4 0 -7,1.0787047878263078e-06,5.767332528972339e-07,300000,17,18,11704944,58205,2935612933,3315,1792,3315,3315,59128,1722,156095186,34998428,853838,223723552,335216123
td:368,2 8 2 -4 4 0 -7,1.0787047878263078e-06,4.989257607632999e-08,300000,17,22,11704944,58205,2935612933,3315,130,3315,6761,4316,126,153690580,33773298,117688,220970376,337161609
td:368,2 8 2 -4 4 0 -7,1.0787047878263078e-06,5.475787882410935e-09,300000,17,26,11704944,58205,2935612933,3315,16,3315,7036,513,15,151487166,32177722,27774,218215484,344700173
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,7.484677635448926e-05,100000,5,11,1368336,21151,151795648,848300,7866,321334,766831,254458,7534,6672214,22135678,2685604,48806976,74443188
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,9.276165202813354e-06,100000,5,14,1368336,21151,151795648,848300,1009,321334,780505,32085,981,6714400,20310784,471568,45014446,67760247
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,6.514320530000339e-07,100000,5,18,1368336,21151,151795648,848300,75,321334,782489,2481,74,7343748,20593172,62302,47166680,70121657
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,5.13997586252801e-08,100000,5,22,1368336,21151,151795648,848300,4,321334,782633,74,3,7798924,20234516,15130,48237362,71927350
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,4.618339545040027e-09,100000,5,26,1368336,21151,151795648,848300,0,321334,782637,0,0,8293998,20519576,0,51039908,73320271
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,7.484677635448926e-05,100000,8,11,1368336,21151,151795648,70586,7866,63230,111250,254458,7534,12594742,13855664,3220766,53204600,62733739
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,9.276165202813354e-06,100000,8,14,1368336,21151,151795648,70586,1009,63230,124924,32085,981,11613252,10494032,472058,41999592,61269334
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,6.514320530000339e-07,100000,8,18,1368336,21151,151795648,70586,75,63230,126908,2481,74,11334678,10000126,65984,40729328,60370105
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,5.13997586252801e-08,100000,8,22,1368336,21151,151795648,70586,4,63230,127052,74,3,12165560,9726298,17102,43259456,63529009
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,4.618339545040027e-09,100000,8,26,1368336,21151,151795648,70586,0,63230,127056,0,0,12854280,10070808,0,45626824,65214534
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,7.484677635448926e-05,100000,11,11,1368336,21151,151795648,7866,7866,7753,0,254458,7534,14568634,6136860,2753714,40850100,60062506
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,9.276165202813354e-06,100000,11,14,1368336,21151,151795648,7866,1009,7753,13674,32085,981,15059168,6096498,472404,40068630,57960760
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,6.514320530000339e-07,100000,11,18,1368336,21151,151795648,7866,75,7753,15658,2481,74,15542736,5835228,57758,41018696,59710938
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,5.13997586252801e-08,100000,11,22,1368336,21151,151795648,7866,4,7753,15802,74,3,16110212,5399860,11332,42810050,62905128
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,4.618339545040027e-09,100000,11,26,1368336,21151,151795648,7866,0,7753,15806,0,0,16010170,5322904,0,42903634,63514119
td:989,-10 -2 4 1 8 -2 -3,9.276165202813354e-06,9.276165202813354e-06,100000,14,14,1368336,21151,151795648,1009,1009,1005,0,32085,981,19312278,3623768,457206,41251570,61814936
td:989,-10 -2 4 1 8 -2 -3,9.276165202813354e-06,6.514320530000339e-07,100000,14,18,1368336,21151,151795648,1009,75,1005,1984,2481,74,19576582,4978638,60572,43522880,66286524
td:989,-10 -2 4 1 8 -2 -3,9.276165202813354e-06,5.13997586252801e-08,100000,14,22,1368336,21151,151795648,1009,4,1005,2128,74,3,21917662,5038298,15720,48201294,69853509
td:989,-10 -2 4 1 8 -2 -3,9.276165202813354e-06,4.618339545040027e-09,100000,14,26,1368336,21151,151795648,1009,0,1005,2132,0,0,23860404,4946906,0,53741484,73776153
td:989,-10 -2 4 1 8 -2 -3,1.2574153581163445e-06,6.514320530000339e-07,100000,17,18,1368336,21151,151795648,142,75,142,142,2481,74,25534402,5197988,56538,50330996,73689314
td:989,-10 -2 4 1 8 -2 -3,1.2574153581163445e-06,5.13997586252801e-08,100000,17,22,1368336,21151,151795648,142,4,142,286,74,3,41671436,6785226,36458,82837178,82533950
td:989,-10 -2 4 1 8 -2 -3,1.2574153581163445e-06,4.618339545040027e-09,100000,17,26,1368336,21151,151795648,142,0,142,290,0,0,32446516,5062416,0,63469776,85665831
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,7.484677635448926e-05,300000,5,11,11025136,75425,1347555583,7396953,68493,2795138,6672518,2222031,65906,46590846,189464704,19229822,309016260,463821900
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,9.276165202813354e-06,300000,5,14,11025136,75425,1347555583,7396953,8655,2795138,6791222,281186,8356,48073454,171270380,3550518,276892594,420810479
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,6.514320530000339e-07,300000,5,18,11025136,75425,1347555583,7396953,587,2795138,6807634,18427,563,51051938,179168020,460110,289415428,417780251
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,5.13997586252801e-08,300000,5,22,11025136,75425,1347555583,7396953,40,2795138,6808772,1321,37,49556018,168664610,61990,277206810,419791439
td:989,-10 -2 4 1 8 -2 -3,0.008121091271639628,4.618339545040027e-09,300000,5,26,11025136,75425,1347555583,7396953,4,2795138,6808846,190,4,47367230,158216388,21348,262979250,420067477
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,7.484677635448926e-05,300000,8,11,11025136,75425,1347555583,613747,68493,548984,966073,2222031,65906,64835810,88293690,17510166,217973262,356909370
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,9.276165202813354e-06,300000,8,14,11025136,75425,1347555583,613747,8655,548984,1084777,281186,8356,68636356,74202016,3268280,196899770,313749597
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,6.514320530000339e-07,300000,8,18,11025136,75425,1347555583,613747,587,548984,1101189,18427,563,68452610,72201720,295442,193375442,308505269
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,5.13997586252801e-08,300000,8,22,11025136,75425,1347555583,613747,40,548984,1102327,1321,37,77136872,79971412,90246,217261872,323363501
td:989,-10 -2 4 1 8 -2 -3,0.0006732947852213235,4.618339545040027e-09,300000,8,26,11025136,75425,1347555583,613747,4,548984,1102401,190,4,85517902,83016168,27224,234359528,328483384
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,7.484677635448926e-05,300000,11,11,11025136,75425,1347555583,68493,68493,67641,0,2222031,65906,112075598,53003398,20950516,244434958,336363900
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,9.276165202813354e-06,300000,11,14,11025136,75425,1347555583,68493,8655,67641,118704,281186,8356,110951854,47227668,3766350,225436942,307225813
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,6.514320530000339e-07,300000,11,18,11025136,75425,1347555583,68493,587,67641,135116,18427,563,116207758,48982198,461014,228347210,310966461
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,5.13997586252801e-08,300000,11,22,11025136,75425,1347555583,68493,40,67641,136254,1321,37,117999446,46064126,70142,231221670,314603581
td:989,-10 -2 4 1 8 -2 -3,7.484677635448926e-05,4.618339545040027e-09,300000,11,26,11025136,75425,1347555583,68493,4,67641,136328,190,4,110867964,41457728,22264,217497080,313754434
td:989,-10 -2 4 1 8 -2 -3,9.276165202813354e-06,9.276165202813354e-06,300000,14,14,11025136,75425,1347555583,8655,8655,8641,0,281186,8356,130278662,26385098,3388108,214652164,323917813
td:989,-10 -2 4 1 8 -2 -3,9.276165202813354e-06,6.514320530000339e-07,300000,14,18,11025136,75425,1347555583,8655,587,8641,16412,18427,563,143131456,37996988,483866,241061240,349510355
td:989,-10 -2 4 1 8 -2 -3,9.276165202813354e-06,5.13997586252801e-08,300000,14,22,11025136,75425,1347555583,8655,40,8641,17550,1321,37,158582542,39550528,102702,264816372,365052566
td:989,-10 -2 4 1 8 -2 -3,9.276165202813354e-06,4.618339545040027e-09,300000,14,26,11025136,75425,1347555583,8655,4,8641,17624,190,4,143859798,34881510,24588,243172090,353117305
td:989,-10 -2 4 1 8 -2 -3,1.2574153581163445e-06,6.514320530000339e-07,300000,17,18,11025136,75425,1347555583,1141,587,1141,1141,18427,563,161821132,35852816,320246,255425134,387727711
td:989,-10 -2 4 1 8 -2 -3,1.2574153581163445e-06,5.13997586252801e-08,300000,17,22,11025136,75425,1347555583,1141,40,1141,2279,1321,37,171913690,35830278,59986,268462276,407503386
td:989,-10 -2 4 1 8 -2 -3,1.2574153581163445e-06,4.618339545040027e-09,300000,17,26,11025136,75425,1347555583,1141,4,1141,2353,190,4,212703382,39984396,36138,325910954,428859150
td:78,6 0 9 -7 -8 0 -2,0.009035300434391515,9.62855384536235e-05,100000,5,11,2788240,17863,171650648,1560677,16548,1220287,2396224,540380,14585,10972838,93058970,4911810,118544048,189188312
td:78,6 0 9 -7 -8 0 -2,0.009035300434391515,1.1963518407222788e-05,100000,5,14,2788240,17863,171650648,1560677,2070,1220287,2424974,67529,1828,13245744,100875200,1005346,126389284,180720278
td:78,6 0 9 -7 -8 0 -2,0.009035300434391515,8.474074817028604e-07,100000,5,18,2788240,17863,171650648,1560677,148,1220287,2428903,4516,129,14151866,99843676,154860,127778948,182770901
td:78,6 0 9 -7 -8 0 -2,0.009035300434391515,7.08956894177198e-08,100000,5,22,2788240,17863,171650648,1560677,16,1220287,2429201,476,15,14789410,99866090,42414,138026116,182883266
td:78,6 0 9 -7 -8 0 -2,0.009035300434391515,7.014749384486769e-09,100000,5,26,2788240,17863,171650648,1560677,1,1220287,2429233,25,1,14973108,102822160,21144,133231364,185834646
td:78,6 0 9 -7 -8 0 -2,0.0008624107575201799,9.62855384536235e-05,100000,8,11,2788240,17863,171650648,148527,16548,145007,247666,540380,14585,18215278,26244644,5215602,60310684,86238917
td:78,6 0 9 -7 -8 0 -2,0.0008624107575201799,1.1963518407222788e-05,100000,8,14,2788240,17863,171650648,148527,2070,145007,276416,67529,1828,19367052,23234490,912058,55125408,76519887
