pop,curve,f,R1_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
rich,ex:676,4 -4 156 -191 -159 171 144,0.00025579010771140776,75000,16,24,26474848,140624,6328125000,1862730,341381,1796566,6852994,10406558,110061,411075268,321871312,38912524,815559584,1235271478
rich,ex:676,4 -4 156 -191 -159 171 144,0.00017589188484093632,75000,17,25,26474848,140624,6328125000,1354791,314387,1319777,5395471,9570469,97707,426153038,268578244,34323796,771376638,1197563668
rich,ex:676,4 -4 156 -191 -159 171 144,0.0001239519339901244,75000,18,26,26474848,140624,6328125000,1023155,286718,1003261,4388077,8732970,89561,446726448,239428894,31686648,758537010,1184579349
rich,ex:676,4 -4 156 -191 -159 171 144,8.797555970650862e-05,75000,19,27,26474848,140624,6328125000,795040,265159,783068,3669960,8077082,82964,494014346,225031864,30891528,792068704,1205428540
rich,ex:676,4 -4 156 -191 -159 171 144,6.252755266211314e-05,75000,20,28,26474848,140624,6328125000,629883,265159,622460,2886892,8077082,82964,498660508,202967180,30426808,772499916,1202395416
rich,ex:676,4 -4 156 -191 -159 171 144,4.4959978032799355e-05,75000,21,29,26474848,140624,6328125000,513265,265159,508272,2264432,8077082,82964,517684116,187216324,29933398,776335258,1211410914
rich,ex:676,4 -4 156 -191 -159 171 144,3.448179052456074e-05,75000,22,30,26474848,140624,6328125000,440052,265159,436311,1756160,8077082,82964,580427302,187377374,31788082,842065536,1245118450
rich,ex:676,4 -4 156 -191 -159 171 144,2.7311663950455484e-05,75000,23,30,26474848,140624,6328125000,386273,265159,383279,1319849,8077082,82964,645612924,200351706,34762930,928721694,1245016757
rich,ex:676,4 -4 156 -191 -159 171 144,2.186446227612641e-05,75000,24,30,26474848,140624,6328125000,341381,265159,339043,936570,8077082,82964,583580846,165790066,30003802,819320702,1271984352
rich,ex:676,4 -4 156 -191 -159 171 144,1.944348375420238e-05,75000,25,30,26474848,140624,6328125000,314387,265159,312383,597527,8077082,82964,708027192,179776676,34603000,969264800,1322878584
rich,ex:676,4 -4 156 -191 -159 171 144,1.7836584270384004e-05,75000,26,30,26474848,140624,6328125000,286718,265159,285144,285144,8077082,82964,644368590,155073786,31461866,879284532,1328674550
rich,ex:676,4 -4 156 -191 -159 171 144,1.657008124526798e-05,75000,27,30,26474848,140624,6328125000,265159,265159,263878,0,8077082,82964,641825304,115805700,30268262,828252886,1280036502
rich,ex:676,4 -4 156 -191 -159 171 144,1.657008124526798e-05,75000,28,30,26474848,140624,6328125000,265159,265159,263878,0,8077082,82964,636407794,115505978,30245878,821830118,1279931122
rich,ex:676,4 -4 156 -191 -159 171 144,1.657008124526798e-05,75000,29,30,26474848,140624,6328125000,265159,265159,263878,0,8077082,82964,639949188,116085910,30787146,827885460,1278317435
rich,ex:676,4 -4 156 -191 -159 171 144,1.657008124526798e-05,75000,30,30,26474848,140624,6328125000,265159,265159,263878,0,8077082,82964,655123812,116750022,30481352,844151028,1291307501
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.048112063525134294,75000,6,14,33600000,187500,8437537500,405642687,12948909,32999846,217130261,407449556,10298094,215757334,5812397562,2263805690,8344682098,13217849065
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.030560956095436215,75000,7,15,33600000,187500,8437537500,257646447,9012529,32989910,194828482,286068191,7107006,241071790,4573571042,1595388474,6467912344,10236198077
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.019476205820648056,75000,8,16,33600000,187500,8437537500,164228051,6420255,32793763,169718007,204814520,5004865,262989694,3684172766,1141045758,5140276466,8168142738
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.012444526670959608,75000,9,17,33600000,187500,8437537500,104973385,4606682,31654833,142756375,147363660,3530561,277580924,2979566986,818460424,4126641442,6588014417
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.008020364683152228,75000,10,18,33600000,187500,8437537500,67726693,3333169,28766125,115401541,106753837,2498405,319629066,2574528630,603821368,3550881840,5598520780
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.005214043458194051,75000,11,19,33600000,187500,8437537500,44094274,2477928,24297142,89806823,79307479,1803929,345281386,2234559712,452625234,3086078230,4825467894
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.003405281863173817,75000,12,20,33600000,187500,8437537500,28872410,1886731,19211803,67897880,60298741,1328557,386760758,1977894214,346439846,2771397814,4259559397
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.0022298194926371156,75000,13,21,33600000,187500,8437537500,18990033,1550592,14416839,50520603,49476192,1062419,414914232,1643641226,277520780,2389966730,3792342690
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.0015107161894485806,75000,14,22,33600000,187500,8437537500,12948909,1298759,10698067,37619117,41366358,863246,453989952,1327452786,231331682,2067253760,3249406269
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.0010433917287030353,75000,15,23,33600000,187500,8437537500,9012529,1110066,7879435,28195038,35288801,718255,480834206,1053128510,195860870,1789269414,2821439617
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.0007352836249324256,75000,16,24,33600000,187500,8437537500,6420255,963558,5832131,21407441,30592640,615363,504098312,884205228,170972404,1617390124,2523906268
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.0005190719107620531,75000,17,25,33600000,187500,8437537500,4606682,907797,4299999,16525111,28832579,581099,554631386,764082380,163500298,1545707212,2408305491
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.00036774447276714036,75000,18,26,33600000,187500,8437537500,3333169,907797,3171407,12225112,28832579,581099,578905934,676443972,164542216,1481357604,2281698757
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.0002656295960286678,75000,19,27,33600000,187500,8437537500,2477928,907797,2388199,9053705,28832579,581099,586192016,584874950,158564024,1390218294,2207936861
rich,bc:136,62500 88300 -111275 -109202 99077 -10108 1444,0.00019577813176985083,75000,20,28,33600000,187500,8437537500,1886731,907797,1834526,6665506,28832579,581099,633579082,541819798,163073690,1392956878,2176585724
